wkt_geom,MARKID,MARKTYPE1,MARKTYPE2,MARKNAME1,MARKNAME2,異動日期_西元年月,ADDRESS,TEL,坐標系統
Point (216564.34169999966979958 2674280.42570000048726797),B0000014202,9960103,,臺中捷運文心中清站_出入口,中捷文心中清站_出入口,202205,,,TM2
Point (216532.04129999884753488 2674297.20729999942705035),B0000006253,9960103,,臺中捷運文心中清站_107,中捷文心中清站_107,202205,,,TM2
Point (219701.58170000102836639 2675045.09949999954551458),B0000014216,9960103,,臺中捷運松竹站_出入口3,中捷松竹站_出入口3,202205,,,TM2
Point (219684.86230000050272793 2675060.69109999854117632),B0000014215,9960103,,臺中捷運松竹站_出入口2,中捷松竹站_出入口2,202205,,,TM2
Point (219635.5787000015261583 2675080.3529000012204051),B0000014214,9960103,,臺中捷運松竹站_出入口1,中捷松竹站_出入口1,202205,,,TM2
Point (219668.69570000015664846 2675083.07330000121146441),B0000014195,9960103,,臺中捷運松竹站_104,中捷松竹站_104,202205,,,TM2
Point (220262.43429999932413921 2675243.77869999967515469),B0000006255,9960103,,臺中捷運舊社站_103,中捷舊社站_103,202205,,,TM2
Point (220284.02030000035301782 2675276.33189999964088202),B0000014223,9960103,,臺中捷運舊社站_出入口,中捷舊社站_出入口,202205,,,TM2
Point (220406.20270000002346933 2675937.81569999922066927),B0000014209,9960103,,臺中捷運北屯總站_出入口2,中捷北屯總站_出入口2,202205,,,TM2
Point (220414.93750000081490725 2675970.3688999991863966),B0000009180,9960103,,臺中捷運北屯總站_103a,中捷北屯總站_103a,202205,,,TM2
Point (220432.81990000035148114 2675976.80950000043958426),B0000014210,9960103,,臺中捷運北屯總站_出入口3,中捷北屯總站_出入口3,202205,,,TM2
Point (220388.40269999980228022 2676014.10309999901801348),B0000014208,9960103,,臺中捷運北屯總站_出入口1,中捷北屯總站_出入口1,202205,,,TM2
Point (178732.83479999951669015 2508572.05970000009983778),E0000000042,9960103,,高雄捷運生態園區站_出入口1,高捷生態園區站_出入口1,202408,,,TM2
Point (187348.56360000089625828 2502579.7793999994173646),E0000014528,9960103,,高雄捷運大寮(前庄)站_OT1,高捷大寮站,202407,高雄市大寮區捷西路300號,,TM2
Point (178031.09460000123362988 2521527.10909999907016754),E0000014501,9960103,,高雄捷運岡山車站_RK1,高捷岡山車站_RK1,202405,,,TM2
Point (175428.52310000092256814 2502546.40589999873191118),E0000012968,9960103,,高雄捷運哈瑪星站_O1,高捷哈瑪星站_O1,202403,高雄市鼓山區臨海二路17-1號,,TM2
Point (175505.55409999936819077 2502553.22650000033900142),E0000004725,9960103,,高雄捷運哈瑪星站_出入口2,高捷哈瑪星站_出入口2,202403,,,TM2
Point (175301.74629999930039048 2502601.37109999964013696),E0000004721,9960103,,高雄捷運哈瑪星站_出入口1,高捷哈瑪星站_出入口1,202403,,,TM2
Point (181624.27269999933196232 2503092.78850000072270632),E0000004054,9960103,,高雄捷運苓雅運動園區站_出入口3,高捷苓雅運動園區站_出入口3,202403,,,TM2
Point (181548.92430000056629069 2503147.84390000021085143),E0000004053,9960103,,高雄捷運苓雅運動園區站_出入口2,高捷苓雅運動園區站_出入口2,202403,,,TM2
Point (181598.33169999942765571 2503166.29569999966770411),E0000005844,9960103,,高雄捷運苓雅運動園區站_O9,高捷苓雅運動園區站_O9,202403,高雄市苓雅區中正一路99號,,TM2
Point (181655.21210000084829517 2503168.46589999925345182),E0000004052,9960103,,高雄捷運苓雅運動園區站_出入口4,高捷苓雅運動園區站_出入口4,202403,,,TM2
Point (181529.4498999995412305 2503218.35070000123232603),E0000004046,9960103,,高雄捷運苓雅運動園區站_出入口1,高捷苓雅運動園區站_出入口1,202403,,,TM2
Point (177409.67850000050384551 2503310.06949999975040555),E0000004110,9960103,,高雄捷運前金站_出入口2,高捷前金站_出入口2,202403,,,TM2
Point (177486.31370000031893142 2503369.61530000017955899),E0000005841,9960103,,高雄捷運前金站_O4,高捷前金站_O4,202403,高雄市前金區中正四路192-1號,,TM2
Point (177563.98809999928926118 2503377.72610000008717179),E0000004109,9960103,,高雄捷運前金站_出入口3,高捷前金站_出入口3,202403,,,TM2
Point (177390.77349999936996028 2503378.42609999980777502),E0000004104,9960103,,高雄捷運前金站_出入口1,高捷前金站_出入口1,202403,,,TM2
Point (177555.50889999952050857 2503406.1389000010676682),E0000004108,9960103,,高雄捷運前金站_出入口4,高捷前金站_出入口4,202403,,,TM2
Point (178765.87549999973271042 2513263.80050000036135316),E0000000516,9960103,,高雄捷運楠梓科技園區站_出入口2,高捷楠梓科技園區站_出入口2,202403,,,TM2
Point (178810.19369999898481183 2513276.50170000130310655),E0000000518,9960103,,高雄捷運楠梓科技園區站_出入口3,高捷楠梓科技園區站_出入口3,202403,,,TM2
Point (178746.3599000001559034 2513293.893499999307096),E0000000522,9960103,,高雄捷運楠梓科技園區站_出入口1,高捷楠梓科技園區站_出入口1,202403,,,TM2
Point (178831.61449999955948442 2513299.77410000097006559),E0000005858,9960103,,高雄捷運楠梓科技園區站_R19,高捷楠梓科技園區站_R19,202403,高雄市楠梓區加昌路598號,,TM2
Point (178881.23630000089178793 2513306.52470000041648746),E0000000524,9960103,,高雄捷運楠梓科技園區站_出入口4,高捷楠梓科技園區站_出入口4,202403,,,TM2
Point (178866.94209999946178868 2513328.08669999986886978),E0000000527,9960103,,高雄捷運楠梓科技園區站_出入口5,高捷楠梓科技園區站_出入口5,202403,,,TM2
Point (178895.91010000079404563 2513338.9377000005915761),E0000000528,9960103,,高雄捷運楠梓科技園區站_出入口6,高捷楠梓科技園區站_出入口6,202403,,,TM2
Point (178253.62189999909605831 2520142.75469999993219972),E0000001023,9960103,,高雄捷運岡山高醫站_出入口1,高捷岡山高醫站_出入口1,202403,,,TM2
Point (178308.18450000137090683 2520180.71830000029876828),E0000005849,9960103,,高雄捷運岡山高醫站_R24,高捷岡山高醫站_R24,202403,高雄市岡山區中山南路2號,,TM2
Point (178297.61009999935049564 2520221.14229999948292971),E0000001026,9960103,,高雄捷運岡山高醫站_出入口2,高捷岡山高醫站_出入口2,202403,,,TM2
Point (183570.34810000093420967 2496143.32770000025629997),E0000005582,9960103,,高雄捷運小港(小港醫院)站_出入口1,高捷小港站_出入口1,202205,,,TM2
Point (183617.71810000026016496 2496187.06190000008791685),E0000005583,9960103,,高雄捷運小港(小港醫院)站_出入口2,高捷小港站_出入口2,202205,,,TM2
Point (183541.89129999937722459 2496232.70630000066012144),E0000012965,9960103,,高雄捷運小港(小港醫院)站_R3,高捷小港站_R3,202205,高雄市小港區沿海一路280號,,TM2
Point (183483.08070000077714212 2496239.02690000087022781),E0000005585,9960103,,高雄捷運小港(小港醫院)站_出入口4,高捷小港站_出入口4,202205,,,TM2
Point (183525.15550000115763396 2496296.51249999925494194),E0000005584,9960103,,高雄捷運小港(小港醫院)站_出入口3,高捷小港站_出入口3,202205,,,TM2
Point (182534.93650000085472129 2496741.97550000157207251),E0000005581,9960103,,高雄捷運高雄國際機場站_出入口1,高捷高雄國際機場站_出入口1,202205,,,TM2
Point (182393.30470000076456927 2496812.86229999829083681),E0000005855,9960103,,高雄捷運高雄國際機場站_R4,高捷高雄國際機場站_R4,202205,高雄市小港區中山四路2-2號,,TM2
