路段序號,自行車道路線編號,路段名稱,路段起點描述,路段迄點描述,縣市別,鄉鎮別,管養單位,所屬道路寬度（M）,自行車道車行方向,自行車道類型,自行車道鋪面類別,自行車道長度（M）,自行車道寬度（M）,自行車道道路結構,補助經費（百萬元）,補助機關,完工日期,路徑（X）,路徑（Y）,備註
TP2047,,水源路(北側),青年路,國興路,台北市,,臺北市政府,35,1,5,,517,2,,0,,1021231,"300887.44,301312.871","2768087.725,2768404.889",
TP2048,,北平東路(北側),中山北路1段,林森北路,台北市,,臺北市政府,20,1,5,,302,2,,0,,1021231,"302528.842,302848.234","2771102.694,2771017.86",
TP2049,,北安路(西北側),明水路,中山高速公路,台北市,,臺北市政府,30,1,5,,3111,2,,0,,1021231,"303162.924,303314.179,303353.143,303422.087,303577.634,303696.304,303784.041,303849.27,304349.938,304367.485,304525.307,304892.903,305212.616,305301.979,305327.957,305353.833,305433.616,305475.492,305542.278,305643.771","2774368.357,2774488.576,2774508.224,2774523.226,2774551.528,2774542.69,2774550.236,2774534.986,2774510.056,2774688.794,2774702.274,2774729.557,2774748.017,2774826.36,2774888.274,2774975,2775275.395,2775321.756,2775369.769,2775415.819",
TP2050,,北安路(北側),文湖街,明水路,台北市,,臺北市政府,30,1,5,,735,2,,0,,1021231,"305759.628,306114.766,306164.163,306199.393,306246.099,306294.436,306354.018,306386.573,306422.4,306459.654","2775402.89,2775290.367,2775273.622,2775267.675,2775267.425,2775287.674,2775320.596,2775327.377,2775323.427,2775315.938",
TP2051,,北安路458巷41弄(南側),北安路,明水路,台北市,,臺北市政府,25,1,5,,385.81,2,,0,,1021231,"304938.282,304950.159,304959.815,305017.54,305100.861,305243.606","2774508.315,2774515.009,2774522.137,2774566.788,2774643.222,2774742.937",
TP2052,,北投路1段,三合街2段,大業路280巷,台北市,,臺北市政府,20,1,5,,162,2,,0,,1021231,"300469.15,300497.855","2780013.914,2779860.163",
TP2053,,市民大道(北側),研究院路,環河北路(淡3水門),台北市,,臺北市政府,30,1,5,,11276,2,,0,,1021231,"301156.238,301495.452,301653.99,301762.731,301807.898,302101.677,302343.696,302532.625,302893.88,303075.135,303247.838,303541.732,304009.434,304167.118,304575.159,304643.145,304984.962,305091.459,305307.958,305583.402,305858.732,306064.57,306294.224,306389.729,306494.882,306633.843,306801.929,307078.673,307157.166,307251.818,307412.995,307455.182,307473.633,307620.296,307777.819,307944.824,308124.855,308317.888,308521.035,308654.971,308696.994,308982.108,309366.044,309692.337,310097.544,310730.625,310843.456,311110.918,311437.194,311817.631,312191.574","2771503.111,2771454.874,2771423.129,2771378.347,2771361.904,2771296.229,2771256.503,2771220.897,2771190.834,2771157.421,2771091.744,2771000.07,2770872.535,2770855.88,2770838.121,2770844.817,2770884.404,2770899.676,2770886.816,2770845.731,2770832.787,2770860.99,2770913.11,2770950.833,2770997.79,2771067.817,2771146.496,2771253.101,2771279.792,2771303.228,2771343.781,2771341.743,2771345.033,2771357.504,2771354.957,2771353.228,2771349.23,2771325.352,2771319.353,2771334.771,2771347.579,2771427.564,2771498.68,2771551.721,2771625.719,2771736.188,2771753.86,2771805.676,2771859.866,2771918.63,2771962.31",
TP2054,,市民大道1至4段(南側),延平北路1段,光復南路,台北市,,臺北市政府,30,1,5,,4100,2,,0,,1021231,"301659.525,301781.854,301852.162,301953.482,302000.845,302049.305,302263.776,302515.589,302609.08,302702.635,302850.698,303020.237,303531.149,303951.917,304027.039,304118.294,304293.196,304555.213,304630.175,304704.114,304777.129,305083.938,305129.734,305303.745,305470.129,305695.479,305797.343,305874.135,305967.531,306059.782,306266.355","2771373.637,2771338.101,2771317.322,2771287.468,2771277.347,2771270.442,2771231.164,2771190.371,2771176.552,2771172.372,2771163.418,2771132.839,2770971.229,2770846.942,2770835.166,2770826.666,2770819.495,2770804.478,2770807.769,2770814.268,2770824.862,2770862.981,2770867.043,2770855.784,2770834.194,2770804.096,2770792.328,2770792.199,2770803.215,2770822.867,2770868.577",
TP2055,,市民大道4段(南側1),光復南路,東寧路,台北市,,臺北市政府,30,1,5,,550,2,,0,,1021231,"306307.985,306554.098,306808.793","2770879.604,2771001.69,2771121.712",
TP2056,,市民大道4段(南側2),東興路,基隆路1段,台北市,,臺北市政府,30,1,5,,290,2,,0,,1021231,"307100.641,307397.967","2771236.023,2771318.02",
TP2057,,市民大道6~8段(南側),基隆路,研究院路,台北市,,臺北市政府,30,1,5,,4807,2,,0,,1021231,"307450.694,307564.85,308014.085,308122.274,308233.874,308310.759,308451.546,308665.84,308673.25,308713.252,308927.841,309808.356,309913.538,310098.747,310360.08,310882.565,311081.08,311312.37,311332.497,311597.686,311896.035,312188.936","2771329.208,2771345.307,2771343.885,2771339.361,2771315.799,2771316.903,2771311.413,2771318.092,2771331.305,2771344.548,2771399.859,2771556.438,2771570.191,2771604.679,2771651.801,2771740.52,2771776.632,2771816.881,2771828.602,2771869.34,2771895.613,2771943.467",
TP2058,,民生東路3~5段(北側),光復北路,新東街,台北市,,臺北市政府,22,1,5,,1090,2,,0,,1021231,"306025.926,306684.658,306690.892,306698.042,306781.454,306803.727,306806.727,306810.738,306816.066,306822.708,306858.313,306864.074,306870.244,306882.306,306895.124,306986.401,306993.166,306995.995,307000.357,307094.057","2772359.853,2772414.523,2772419.644,2772422.886,2772430.211,2772436.174,2772442.501,2772448.61,2772453.173,2772457.299,2772460.217,2772457.693,2772454.064,2772440.933,2772439.878,2772448.013,2772446.933,2772445.948,2772440.428,2772448.241",
TP2059,,民生東路3~5段(南側),復興北路,新東街,台北市,,臺北市政府,22,1,5,,2170,2,,0,,1021231,"304918.221,305424.837,306562.605,306668.304,306687.869,306693.133,306702.23,306803.189,306815.153,306828.506,306867.428,306875.986,306883.207,306888.814,306992.908,307001.951,307094.337","2772274.158,2772271.886,2772382.447,2772392.301,2772394.487,2772390.411,2772386.35,2772395.742,2772381.724,2772373.361,2772379.283,2772383.75,2772394.081,2772404.406,2772411.93,2772420.94,2772429.633",
TP2060,,民族東路,410巷,建國北路3段113巷,台北市,,臺北市政府,20,1,5,,200,2,,0,,1021231,"304109.906,304307.254","2773425.903,2773423.475",
TP2061,,民族東路北側人行道,美術公園,新生北路,台北市,,臺北市政府,20,1,5,,360,2,,0,,1021231,"302866.085,303228.201","2773468.878,2773461.757",
